This program will make the robot wander around. It uses some avoidance
actions if obstacles are detected, otherwise it just has a
constant forward velocity.

Press CTRL-C or Escape to exit.
Could not connect to simulator, connecting to robot through serial port /dev/ttyUSB0.
Syncing 0
Syncing 1
Syncing 2
Connected to robot.
Name: Minnesota_1861
Type: Pioneer
Subtype: p3dx
ArConfig: Config version: 2.0
Loaded robot parameters from /usr/local/Aria/params/p3dx.p
ArLaserConnector: There is a port given, but no port type given so using the robot parameters port type
ArLaserConnector: Set serial port to open /dev/ttyUSB1
laser: waiting for laser to power on.
laser: Connected to the laser.
Line: 1.17538 1160.07
Line: -1.94599 1269.83
Point: 18 1243
Point: 39.3792 1224.81
Point: 61.066 1233.25
Point: 81.9022 1219.33
Point: 102.824 1213.04
Point: 123.284 1203.4
Point: 143.434 1193.43
Point: 164.243 1191.06
Point: 184.034 1181.39
Point: 204.001 1174.36
Point: 223.078 1163.06
Point: 243.536 1160.28
Point: 261.673 1146.39
Point: 282.093 1143.91
Point: 301.774 1138.16
Point: 320.042 1127.24
Point: 339.669 1121.79
Point: 359.198 1116.01
Point: 378.623 1109.88
Point: 395.008 1094.91
Point: 414.401 1089.1
Point: 435.857 1088.55
Point: 455.166 1082.02
Point: 470.467 1065.94
Point: 489.408 1058.8
Point: 507.392 1049.5
Point: 526.072 1041.7
Point: 544.175 1032.68
Point: 566.812 1032.17
Point: 583.773 1020.68
Point: 600.5 1008.92
Point: 624.715 1009.74
Point: 642.245 999.001
Point: 658.496 986.277
Point: 677.848 978.264
Point: 698.835 972.333
Point: 720.403 966.775
Point: 741.382 959.96
Point: 759.872 949.553
Point: 780.736 941.901
Point: 797.701 929.212
Point: 819.048 921.5
Point: 843.038 916.298
Point: 862.996 906.147
Point: 889.102 902.052
Point: 902.591 884.591
Point: 931.562 882.216
Point: 955.595 874.322
Point: 969.969 857.156
Point: 999.877 853.533
Point: 1025.35 845.266
Point: 1050.05 835.737
Point: 1073.15 824.371
Point: 1095.36 811.848
Point: 1123.93 803.502
Point: 1145.97 789.815
Point: 1174.51 780.074
Point: 1206.4 771.754
Point: 1226.47 755.135
Point: 1258.32 745.26
Point: 1285.86 732
Point: 1314.19 718.488
Point: 1352.13 709.372
Point: 1391.04 699.599
Point: 1421.92 684.736
Point: 1451.78 668.582
Point: 1491.55 656.066
Point: 1521.18 638.064
Point: 1558.05 622.222
Point: 1608.82 610.659
Point: 1644.61 592.037
Point: 1685.89 574.302
Point: 1732.75 557.158
Point: 1776.64 537.672
Point: 1823.25 517.647
Point: 1870.65 496.415
Point: 1925.6 475.618
Point: 1982.33 453.501
Point: 2041.79 430.169
Point: 2096.1 403.943
Point: 2161.93 378.032
Point: 2238.32 351.665
Point: 2311.46 322.325
Point: 2370.33 288.83
Point: 2465.52 257.245
Point: 2546.34 221.201
Point: 2644.59 183.669
Point: 2746.26 142.982
Point: 2856.27 99.1146
Point: 2977.55 51.6591
Point: 3100 0
Point: 3234.51 -56.1444
Point: 3391.94 -117.821
Point: 3555.15 -185.374
Point: 3747.89 -260.819
Point: 3947.99 -343.829
Point: 4187.04 -438.183
Point: 4456.67 -545
Point: 4775.25 -668.588
Point: 5120.4 -808.14
Point: 5545.73 -974.687
Point: 5921.51 -1147.53
Point: 6834.71 -1448.94
Point: 7284.85 -1677.68
Point: 6763.91 -4053.35
Point: 6034.9 -3759.78
Point: 5455.94 -3531.44
Point: 4965.7 -3337.26
Point: 4549.55 -3173.02
Point: 4181.2 -3024.74
Point: 3863.43 -2897.74
Point: 3565.62 -2771.71
Point: 3319.32 -2673.35
Point: 3099.03 -2585.29
Point: 2910.05 -2514.02
Point: 2725.28 -2437.64
Point: 2569.69 -2379.49
Point: 2425.63 -2325.02
Point: 2290.64 -2272.64
Point: 2161.72 -2219.88
Point: 2045.58 -2174.31
Point: 1934.39 -2128.37
Point: 1833.32 -2088.28
Point: 1740.03 -2052.23
Point: 1654.23 -2020.58
Point: 1569.47 -1985.79
Point: 1491.24 -1955.06
Point: 1417.52 -1926.27
Point: 1350.42 -1902.89
Point: 1278.98 -1869.48
Point: 1218.38 -1848.43
Point: 1159.45 -1826.7
Point: 1101.64 -1803.48
Point: 1044 -1777.08
Point: 993.437 -1759.73
Point: 943.328 -1740.29
Point: 894.656 -1720.53
Point: 852.22 -1710.41
Point: 801.534 -1680.29
Point: 760.294 -1667.22
Point: 718.19 -1649.54
Point: 678.057 -1633.7
Point: 639.052 -1617.89
Point: 603.881 -1609.69
Point: 566.908 -1594.14
Point: 531.277 -1579.7
Point: 497.49 -1568.34
Point: 461.776 -1547.63
Point: 429.522 -1535.82
Point: 398.543 -1526.28
Point: 367.124 -1512.22
Point: 338.184 -1506.35
Point: 308.411 -1494.04
Point: 278.82 -1479.18
Point: 250.305 -1466.72
Point: 222.306 -1453.71
Point: 196.295 -1452.1
Point: 168.835 -1435.1
Point: 143.068 -1429.54
Point: 116.845 -1413.55
Point: 91.532 -1403.07
Point: 66.7895 -1397.15
Point: 42.2763 -1390.79
Point: 18 -1379
Segment: 2644.59 183.669 18 1243 1.17538 1160.07 87
Segment: 1833.32 -2088.28 18 -1379 -1.94599 1269.83 42

5967
Line: 1.1787 1159.23
Line: -1.94547 1270.11
Point: 18 1239
Point: 39.3967 1225.81
Point: 60.7868 1225.25
Point: 81.6405 1214.33
Point: 102.196 1204.06
Point: 123.371 1204.4
Point: 143.434 1193.43
Point: 164.243 1191.06
Point: 183.894 1180.4
Point: 204.001 1174.36
Point: 222.731 1161.09
Point: 243.536 1160.28
Point: 262.088 1148.35
Point: 282.093 1143.91
